step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,4040,8,0.05257227839016336,0.0,0.0,0.07575818893279257,0.0,0.0,,
2,8336,16,0.04474041612851786,0.0,0.0,,,,,
3,12440,24,0.04065423813243518,0.0,0.0,,,,,
4,16288,32,0.039750121831722524,0.0,0.0,,,,,
5,19432,40,0.032182648266256095,0.0,0.0,,,,,
6,24304,48,0.01961478830675533,0.0,0.0,,,,,
7,27960,56,0.019828078473742572,0.875,0.875,,,,,
8,32448,64,0.01775548064257743,0.625,0.625,,,,,
9,37320,72,0.0150471452322019,0.875,0.875,0.02010910387093893,0.375,0.375,,
10,41552,80,0.018144999064667225,0.75,0.75,,,,,
11,44696,88,0.023179137231321898,0.75,0.75,,,,,
12,48672,96,0.016700750946454998,0.875,0.875,,,,,
13,51240,104,0.024113404413740887,0.625,0.625,,,,,
14,55664,112,0.018819576752486907,0.75,0.75,,,,,
15,59384,120,0.01930013885776943,0.75,0.75,,,,,
16,62592,128,0.024468486507527806,0.5,0.5,,,,,
17,67464,136,0.0188926553246146,0.75,0.75,0.021700651898003596,0.375,0.375,,
18,71760,144,0.016071245038170964,0.5,0.5,,,,,
19,76888,152,0.015834556735023285,0.625,0.625,,,,,
20,79904,160,0.018363590586449208,1.0,1.0,,,,,
21,84328,168,0.016236961043197936,0.875,0.875,,,,,
22,88816,176,0.015349210772205536,0.75,0.75,,,,,
23,94008,184,0.014210452201033822,1.0,1.0,,,,,
24,98688,192,0.013573705081373226,0.875,0.875,,,,,
25,102856,200,0.01802226165920232,0.75,0.75,0.015737137253951927,1.0,1.0,,
26,108304,208,0.010872489400533829,0.75,0.75,,,,,
27,113048,216,0.01790419697145021,0.625,0.625,,,,,
28,118304,224,0.014681995153642725,0.625,0.625,,,,,
29,121768,232,0.021318524740983606,0.75,0.75,,,,,
30,125360,240,0.017261466509009536,0.625,0.625,,,,,
31,128824,248,0.019614636349596194,0.5,0.5,,,,,
32,133696,256,0.016302684447977712,0.875,0.875,,,,,
33,137544,264,0.01797137474758131,0.75,0.75,0.011744152018249007,0.625,0.625,,
34,141584,272,0.016655205546828204,1.0,1.0,,,,,
35,147032,280,0.012439914523142555,0.75,0.75,,,,,
36,151008,288,0.015793782347805936,0.875,0.875,,,,,
37,155752,296,0.015270193730538712,1.0,1.0,,,,,
38,160176,304,0.017385836181083227,0.75,0.75,,,,,
39,165560,312,0.01129909113756699,0.875,0.875,,,,,
40,168768,320,0.01975620233864116,0.75,0.75,,,,,
41,172488,328,0.01562617958485107,0.75,0.75,0.013701278763300264,0.875,0.875,,
42,175696,336,0.020081637976570844,0.75,0.75,,,,,
43,180568,344,0.011807290466115733,1.0,1.0,,,,,
44,186720,352,0.013367984023577516,0.625,0.625,,,,,
45,190120,360,0.01896781416703821,0.75,0.75,,,,,
46,193968,368,0.013129181136770614,0.875,0.875,,,,,
47,198456,376,0.016398284450686758,0.75,0.75,,,,,
48,202624,384,0.012853067571106713,0.875,0.875,,,,,
49,206792,392,0.0116416202863143,0.875,0.875,0.011452181678270779,0.75,0.75,,
50,210576,400,0.016444530257974106,0.75,0.75,,,,,
51,215576,408,0.011823411414748502,0.875,0.875,,,,,
52,218272,416,0.01648907972437224,0.875,0.875,,,,,
53,221352,424,0.016309643930968776,0.75,0.75,,,,,
54,225968,432,0.013763538078877372,0.75,0.75,,,,,
55,230328,440,0.016362123756224634,0.375,0.375,,,,,
56,234560,448,0.015849206234684096,0.625,0.625,,,,,
57,237512,456,0.015823179615727254,0.875,0.875,0.00959969067259179,0.75,0.75,,
58,240656,464,0.0169813239068136,0.875,0.875,,,,,
59,245592,472,0.015031423860419306,0.5,0.5,,,,,
60,251552,480,0.012440920415229302,1.0,1.0,,,,,
61,255016,488,0.013854611761602362,0.875,0.875,,,,,
62,259696,496,0.014936363994704556,0.75,0.75,,,,,
63,263736,504,0.010206847971666806,1.0,1.0,,,,,
64,268032,512,0.012721642294028203,0.875,0.875,,,,,
65,270920,520,0.022170342291874232,0.5,0.5,0.018698090709218698,0.5,0.5,,
66,274832,528,0.019630722975702643,0.375,0.375,,,,,
67,278808,536,0.012221836712497826,0.875,0.875,,,,,
68,283168,544,0.01567989686827515,0.375,0.375,,,,,
69,286440,552,0.018491198175481876,0.75,0.75,,,,,
70,289904,560,0.0143256277748356,0.875,0.875,,,,,
71,295224,568,0.011796011287913988,0.875,0.875,,,,,
72,299264,576,0.012977865950018706,0.75,0.75,,,,,
73,302920,584,0.01359923677543296,0.75,0.75,0.011811134246301942,0.75,0.75,,
74,307600,592,0.01548197579397272,0.625,0.625,,,,,
75,312792,600,0.010507834523800727,0.375,0.375,,,,,
76,317472,608,0.012121316929899685,0.875,0.875,,,,,
77,321960,616,0.011031090780988035,0.875,0.875,,,,,
78,326192,624,0.012456727884558448,0.75,0.75,,,,,
79,329464,632,0.01417275490842184,0.75,0.75,,,,,
80,333824,640,0.012571776377999241,0.625,0.625,,,,,
81,338696,648,0.009937265099320518,1.0,1.0,0.0111079053706707,1.0,1.0,,
82,342864,656,0.011444527819719427,0.875,0.875,,,,,
83,348184,664,0.010019263772524925,0.625,0.625,,,,,
84,351264,672,0.014540072785913667,0.875,0.875,,,,,
85,354728,680,0.012885918966464982,0.875,0.875,,,,,
86,358704,688,0.015019051173877291,0.875,0.875,,,,,
87,361848,696,0.014522676651338716,0.625,0.625,,,,,
88,366208,704,0.014244361189716996,0.875,0.875,,,,,
89,369992,712,0.012779350578488537,0.875,0.875,0.013178992966663769,0.75,0.75,,
90,374160,720,0.010862014819964055,0.75,0.75,,,,,
91,377304,728,0.012825005859976509,0.875,0.875,,,,,
92,380064,736,0.017374334750046346,0.75,0.75,,,,,
93,384872,744,0.012243898211538833,0.625,0.625,,,,,
94,388848,752,0.011186912997038546,0.75,0.75,,,,,
95,393016,760,0.013395545100321172,0.75,0.75,,,,,
96,397632,768,0.009603996053478815,0.75,0.75,,,,,
97,400392,776,0.013374506124980161,0.75,0.75,0.012723676644829648,0.875,0.875,,
98,402960,784,0.018633489706779225,0.5,0.5,,,,,
99,408728,792,0.010203042852851597,0.75,0.75,,,,,
100,411296,800,0.014868620235816301,0.875,0.875,,,,,
101,415528,808,0.011620429303831588,0.375,0.375,,,,,
102,419312,816,0.013238348481616353,0.5,0.5,,,,,
103,422136,824,0.015768102463163475,0.875,0.875,,,,,
104,426496,832,0.014010190368051774,1.0,1.0,,,,,
105,428936,840,0.0152597073313821,0.875,0.875,0.010246788331420452,0.875,0.875,,
106,434192,848,0.010028428718750912,0.75,0.75,,,,,
107,438488,856,0.012564938094194697,0.625,0.625,,,,,
108,442336,864,0.01268650372654671,0.5,0.5,,,,,
109,445992,872,0.012401080000321068,0.875,0.875,,,,,
110,450480,880,0.01084828322524177,0.75,0.75,,,,,
111,454712,888,0.011701260635124526,0.875,0.875,,,,,
112,460672,896,0.007303477610966088,0.75,0.75,,,,,
113,464968,904,0.013932691388264876,1.0,1.0,0.014550163744979864,0.75,0.75,,
114,467792,912,0.01316193132214743,0.75,0.75,,,,,
115,473176,920,0.008118565427090177,0.875,0.875,,,,,
116,477600,928,0.01123078901886034,1.0,1.0,,,,,
117,480424,936,0.013346262808770838,0.875,0.875,,,,,
